Comunidad autónoma de residencia,Concepto turístico,Tipo de dato,Total,Año,Trimestre
01 Andalucía,Viajes,Valor absoluto,4778550,2015,T1
01 Andalucía,Duración media de los viajes,Valor absoluto,3.46,2015,T1
01 Andalucía,Gasto total,Valor absoluto,874322.31,2015,T1
02 Aragón,Viajes,Valor absoluto,1183905,2015,T1
02 Aragón,Duración media de los viajes,Valor absoluto,3.21,2015,T1
02 Aragón,Gasto total,Valor absoluto,175967.34,2015,T1
"03 Asturias, Principado de",Viajes,Valor absoluto,709571,2015,T1
"03 Asturias, Principado de",Duración media de los viajes,Valor absoluto,2.8,2015,T1
"03 Asturias, Principado de",Gasto total,Valor absoluto,101581.92,2015,T1
"04 Balears, Illes",Viajes,Valor absoluto,731962,2015,T1
"04 Balears, Illes",Duración media de los viajes,Valor absoluto,6.23,2015,T1
"04 Balears, Illes",Gasto total,Valor absoluto,252837.37,2015,T1
05 Canarias,Viajes,Valor absoluto,1197812,2015,T1
05 Canarias,Duración media de los viajes,Valor absoluto,3.73,2015,T1
05 Canarias,Gasto total,Valor absoluto,257207.52,2015,T1
06 Cantabria,Viajes,Valor absoluto,454260,2015,T1
06 Cantabria,Duración media de los viajes,Valor absoluto,3,2015,T1
06 Cantabria,Gasto total,Valor absoluto,69466.11,2015,T1
07 Castilla y León,Viajes,Valor absoluto,2172052,2015,T1
07 Castilla y León,Duración media de los viajes,Valor absoluto,2.65,2015,T1
07 Castilla y León,Gasto total,Valor absoluto,300302.44,2015,T1
08 Castilla - La Mancha,Viajes,Valor absoluto,1701645,2015,T1
08 Castilla - La Mancha,Duración media de los viajes,Valor absoluto,2.82,2015,T1
08 Castilla - La Mancha,Gasto total,Valor absoluto,198830.23,2015,T1
09 Cataluña,Viajes,Valor absoluto,5052824,2015,T1
09 Cataluña,Duración media de los viajes,Valor absoluto,2.96,2015,T1
09 Cataluña,Gasto total,Valor absoluto,863898.1,2015,T1
10 Comunitat Valenciana,Viajes,Valor absoluto,2641438,2015,T1
10 Comunitat Valenciana,Duración media de los viajes,Valor absoluto,3.24,2015,T1
10 Comunitat Valenciana,Gasto total,Valor absoluto,511284.84,2015,T1
11 Extremadura,Viajes,Valor absoluto,914344,2015,T1
11 Extremadura,Duración media de los viajes,Valor absoluto,2.72,2015,T1
11 Extremadura,Gasto total,Valor absoluto,106044.89,2015,T1
12 Galicia,Viajes,Valor absoluto,2025170,2015,T1
12 Galicia,Duración media de los viajes,Valor absoluto,3.06,2015,T1
12 Galicia,Gasto total,Valor absoluto,378086.07,2015,T1
"13 Madrid, Comunidad de",Viajes,Valor absoluto,5938465,2015,T1
"13 Madrid, Comunidad de",Duración media de los viajes,Valor absoluto,3.4,2015,T1
"13 Madrid, Comunidad de",Gasto total,Valor absoluto,1142451.81,2015,T1
"14 Murcia, Región de",Viajes,Valor absoluto,646220,2015,T1
