Comunidad,Salario Promedio
01 Andalucía,2115.18
02 Aragón,2264.44
"03 Asturias, Principado de",2320.13
"04 Balears, Illes",2427.32
05 Canarias,2036.31
06 Cantabria,2313.11
07 Castilla y León,2303.18
08 Castilla - La Mancha,2128.43
09 Cataluña,2492.82
10 Comunitat Valenciana,2166.56
11 Extremadura,2056.59
12 Galicia,2253.74
"13 Madrid, Comunidad de",2625.18
"14 Murcia, Región de",2061.02
"15 Navarra, Comunidad Foral de",2565.72
16 País Vasco,2837.42
"17 Rioja, La",2267.85
18 Ceuta,2324.98
19 Melilla,2493.01
